Dbp2.1	Dbp2.2	Dbp2.3	type
YBR208C	14	7	63	gene
YBR210W	21	53	19	gene
YBR212W	142	43	177	gene
YBR214W	62	56	105	gene
YBR218C	44	30	42	gene
YBR221C	175	167	117	gene
YBR222C	50	30	47	gene
YBR229C	75	14	38	gene
YBR230C	69	27	149	gene
YBR231C	413	893	461	gene
YBR234C	102	12	187	gene
YBR238C	43	10	57	gene
YBR244W	31	19	71	gene
YBR247C	42	34	15	gene
YBR249C	159	152	152	gene
YBR252W	10	18	10	gene
YBR255C-A	58	67	96	gene
YBR263W	54	74	79	gene
YBR265W	8	15	43	gene
YBR267W	7	57	12	gene
YBR279W	23	7	46	gene
YBR283C	137	71	147	gene
YBR286W	328	311	326	gene
YBR287W	97	100	181	gene
YBR288C	41	15	12	gene
YBR296C	89	80	183	gene
YBR297W	9	34	29	gene
YCL064C	86	160	45	gene
YCL057W	37	240	57	gene
YCL054W	21	7	10	gene
YCL050C	69	68	39	gene
YCL045C	130	39	213	gene
YCL043C	361	137	304	gene
YCL040W	100	24	56	gene
YCL037C	31	68	54	gene
YCL031C	43	34	92	gene
YCL030C	199	437	147	gene
YCL028W	15	17	7	gene
YCL024W	6	21	29	gene
YCL021W-A	23	30	21	gene
YCL011C	114	40	139	gene
YCL010C	51	9	41	gene
YCL009C	155	146	86	gene
YCL005W-A	65	15	122	gene
YCL002C	21	11	34	gene
YCR002C	88	65	34	gene
YCR004C	56	47	78	gene
YCR005C	176	155	186	gene
YCR008W	140	77	209	gene
YCR009C	107	13	111	gene
YCR011C	166	165	180	gene
YCR012W	3342	1795	2719	gene
YCR017C	61	208	48	gene
YCR018C	21	28	25	gene
YCR025C	52	35	50	gene
YCR028C	18	11	32	gene
YCR028C-A	6	6	13	gene
YCR031C	476	390	776	gene
YCR033W	42	84	102	gene
YCR034W	12	10	32	gene
YCR036W	6	43	11	gene
YCR042C	22	11	8	gene
YCR052W	6	117	11	gene
YCR053W	334	454	252	gene
YCR063W	8	60	9	gene
YCR065W	24	24	114	gene
YCR067C	68	114	145	gene
YCR069W	30	57	14	gene
YCR077C	20	112	22	gene
YCR084C	84	177	131	gene
YCR088W	165	107	131	gene
YCR093W	205	108	193	gene
YCR097W	49	48	43	gene
YDL248W	11	30	10	gene
YDL237W	25	11	30	gene
YDL233W	20	54	19	gene
YDL231C	43	30	28	gene
YDL229W	1868	2084	1948	gene
YDL217C	21	10	50	gene
YDL215C	48	119	70	gene
YDL212W	30	70	21	gene
YDL208W	33	59	41	gene
YDL205C	23	32	40	gene
YDL201W	12	10	10	gene
YDL198C	33	7	31	gene
YDL195W	166	314	275	gene
YDL192W	244	431	136	gene
YDL191W	417	276	575	gene
YDL190C	72	62	133	gene
YDL189W	19	134	116	gene
YDL188C	12	15	56	gene
YDL185W	745	663	817	gene
YDL184C	443	239	333	gene
YDL182W	8	50	25	gene
YDL178W	46	56	75	gene
YDL174C	19	56	6	gene
YDL173W	47	111	27	gene
YDL171C	262	365	232	gene
YDL160C	233	126	250	gene
YDL155W	7	22	9	gene
YDL147W	116	57	164	gene
YDL146W	11	52	8	gene
YDL145C	102	188	195	gene
YDL143W	75	58	36	gene
YDL140C	460	452	689	gene
YDL137W	190	95	179	gene
YDL136W	262	133	193	gene
YDL135C	15	57	26	gene
YDL134C	100	104	70	gene
YDL133C-A	564	180	593	gene
YDL132W	88	96	64	gene
YDL131W	71	54	50	gene
YDL130W	373	650	492	gene
YDL128W	18	6	7	gene
YDL126C	486	864	470	gene
YDL125C	182	46	221	gene
YDL124W	84	101	88	gene
YDL123W	28	104	71	gene
YDL110C	60	40	27	gene
YDL100C	175	87	62	gene
YDL097C	51	87	111	gene
YDL095W	51	111	115	gene
YDL092W	10	31	38	gene
YDL086W	17	8	6	gene
YDL084W	197	63	243	gene
YDL083C	373	419	609	gene
YDL082W	367	202	533	gene
YDL081C	364	212	332	gene
YDL076C	16	24	12	gene
YDL075W	522	417	744	gene
YDL074C	85	52	166	gene
YDL073W	18	8	27	gene
YDL072C	141	16	101	gene
YDL070W	268	393	422	gene
YDL066W	51	142	72	gene
YDL064W	29	17	15	gene
YDL063C	10	89	26	gene
YDL061C	313	388	370	gene
YDL058W	81	64	111	gene
YDL057W	9	36	22	gene
YDL056W	41	53	55	gene
YDL055C	613	370	589	gene
YDL052C	39	135	73	gene
YDL051W	106	17	39	gene
YDL048C	19	17	7	gene
YDL047W	25	48	59	gene
YDL046W	89	23	145	gene
YDL039C	100	95	114	gene
YDL037C	118	91	195	gene
YDL035C	51	48	97	gene
YDL031W	102	59	42	gene
YDL029W	65	61	171	gene
YDL025C	8	7	60	gene
YDL022W	385	364	612	gene
YDL020C	66	304	102	gene
YDL019C	51	32	20	gene
YDL015C	54	30	72	gene
YDL014W	105	75	209	gene
YDL010W	30	99	31	gene
YDL007W	81	25	37	gene
YDL005C	15	64	28	gene
YDL004W	29	75	27	gene
YDR001C	64	82	55	gene
YDR002W	207	78	120	gene
YDR006C	53	80	48	gene
YDR011W	132	181	154	gene
YDR012W	501	324	585	gene
YDR019C	73	89	99	gene
YDR022C	8	41	12	gene
YDR023W	172	131	192	gene
YDR025W	452	341	456	gene
YDR027C	21	8	16	gene
YDR028C	83	12	53	gene
YDR032C	28	33	75	gene
YDR033W	602	453	534	gene
YDR034C	23	36	26	gene
YDR037W	260	840	310	gene
YDR038C	37	92	102	gene
YDR039C	29	8	28	gene
YDR041W	19	18	29	gene
YDR044W	49	17	33	gene
YDR046C	34	93	40	gene
YDR047W	30	15	66	gene
YDR050C	1346	980	1106	gene
YDR052C	50	17	54	gene
YDR054C	71	42	52	gene
YDR055W	53	34	68	gene
YDR060W	29	93	47	gene
YDR062W	124	126	145	gene
YDR064W	784	625	892	gene
YDR069C	16	23	34	gene
YDR071C	91	47	59	gene
YDR072C	215	224	358	gene
YDR073W	43	212	69	gene
YDR074W	617	318	534	gene
YDR077W	1511	1327	2280	gene
YDR086C	85	25	49	gene
YDR089W	6	64	28	gene
YDR090C	8	12	8	gene
YDR091C	31	199	143	gene
YDR092W	23	195	42	gene
YDR093W	23	162	68	gene
YDR096W	40	47	89	gene
YDR097C	14	99	10	gene
YDR098C	25	55	9	gene
YDR099W	383	600	404	gene
YDR100W	6	7	9	gene
YDR119W	11	8	13	gene
YDR124W	8	16	6	gene
YDR127W	119	164	118	gene
YDR129C	236	116	252	gene
YDR133C	123	206	168	gene
YDR135C	34	41	90	gene
YDR137W	9	18	7	gene
YDR138W	65	29	81	gene
YDR141C	28	93	19	gene
YDR144C	9	25	11	gene
YDR145W	7	78	25	gene
YDR150W	19	105	64	gene
YDR151C	65	186	62	gene
YDR153C	9	33	42	gene
YDR158W	22	50	11	gene
YDR161W	9	11	14	gene
YDR168W	11	41	61	gene
YDR170C	164	211	90	gene
YDR171W	165	208	66	gene
YDR172W	119	143	121	gene
YDR174W	81	44	121	gene
YDR175C	6	12	38	gene
YDR176W	26	11	18	gene
YDR177W	50	184	60	gene
YDR178W	54	110	39	gene
YDR180W	40	99	35	gene
YDR186C	51	21	131	gene
YDR188W	46	106	53	gene
YDR189W	25	61	22	gene
YDR190C	71	70	58	gene
YDR194C	82	120	57	gene
YDR204W	19	84	12	gene
YDR206W	19	22	60	gene
YDR208W	68	6	115	gene
YDR210W	13	65	10	gene
YDR211W	44	232	23	gene
YDR212W	115	239	71	gene
YDR213W	34	39	7	gene
YDR221W	29	20	8	gene
YDR224C	205	442	239	gene
YDR225W	345	98	131	gene
YDR226W	139	105	137	gene
YDR232W	103	366	187	gene
YDR233C	246	70	179	gene
YDR234W	6	79	16	gene
YDR235W	18	14	23	gene
YDR237W	12	39	62	gene
YDR238C	203	199	156	gene
YDR251W	126	234	157	gene
YDR258C	210	59	122	gene
YDR262W	29	12	15	gene
YDR264C	133	206	80	gene
YDR270W	32	41	39	gene
YDR276C	262	152	165	gene
YDR278C	769	1542	1349	gene
YDR283C	10	12	21	gene
YDR293C	238	429	277	gene
YDR297W	33	243	68	gene
YDR298C	42	19	22	gene
YDR301W	56	9	70	gene
YDR303C	15	8	23	gene
YDR304C	74	28	32	gene
YDR310C	15	40	35	gene
YDR321W	52	10	56	gene
YDR324C	7	11	29	gene
YDR326C	26	111	12	gene
YDR328C	30	36	10	gene
YDR334W	11	34	41	gene
YDR335W	76	128	73	gene
YDR341C	80	112	51	gene
YDR345C	719	337	288	gene
YDR346C	81	85	93	gene
YDR347W	22	6	11	gene
YDR352W	8	134	31	gene
YDR353W	107	60	105	gene
YDR363W-A	36	81	72	gene
YDR365C	247	433	254	gene
YDR372C	27	42	33	gene
YDR373W	22	22	25	gene
YDR377W	26	25	39	gene
YDR378C	50	135	42	gene
YDR379W	13	15	6	gene
YDR381W	285	235	422	gene
YDR381C-A	20	25	51	gene
YDR382W	478	436	594	gene
YDR384C	12	30	7	gene
YDR385W	1798	1744	1868	gene
YDR389W	38	103	14	gene
YDR395W	21	27	9	gene
YDR397C	20	28	68	gene
YDR399W	97	50	248	gene
YDR404C	45	17	48	gene
YDR405W	11	78	26	gene
YDR407C	9	164	36	gene
YDR408C	32	60	42	gene
YDR412W	7	45	8	gene
YDR418W	368	478	306	gene
YDR420W	77	125	80	gene
YDR422C	54	93	32	gene
YDR427W	31	17	24	gene
YDR429C	55	39	77	gene
YDR430C	22	88	17	gene
YDR432W	57	72	189	gene
YDR445C	14	7	8	gene
YDR447C	357	134	336	gene
YDR450W	447	274	622	gene
YDR451C	28	81	41	gene
YDR452W	21	36	74	gene
YDR454C	41	104	90	gene
YDR457W	108	239	224	gene
YDR461W	31	32	74	gene
YDR463W	21	19	13	gene
YDR466W	15	35	6	gene
YDR471W	346	107	318	gene
YDR472W	12	44	27	gene
YDR477W	22	36	10	gene
YDR481C	152	36	206	gene
YDR482C	14	15	13	gene
YDR483W	186	170	152	gene
YDR485C	8	17	31	gene
YDR490C	9	37	27	gene
YDR496C	34	152	25	gene
YDR497C	130	115	138	gene
YDR500C	299	142	215	gene
YDR508C	133	87	222	gene
YDR510W	55	88	111	gene
YDR516C	9	7	10	gene
YDR517W	29	161	33	gene
YDR524C	22	115	31	gene
YDR528W	11	6	9	gene
YEL071W	161	41	103	gene
YEL063C	29	19	28	gene
YEL060C	312	142	584	gene
YEL056W	8	11	12	gene
YEL055C	112	87	78	gene
YEL054C	483	285	500	gene
YEL053C	51	26	28	gene
YEL051W	50	44	48	gene
YEL047C	61	102	89	gene
YEL046C	435	637	617	gene
YEL042W	111	58	67	gene
YEL040W	339	124	221	gene
YEL038W	40	50	20	gene
YEL037C	26	29	37	gene
YEL033W	58	165	40	gene
YEL032W	33	80	23	gene
YEL031W	288	314	280	gene
YEL027W	325	235	496	gene
YEL026W	151	99	273	gene
YEL023C	7	6	9	gene
YEL022W	14	115	14	gene
YEL017C-A	439	300	388	gene
YEL013W	47	85	39	gene
YEL011W	8	158	19	gene
YEL009C	681	800	639	gene
YEL007W	69	87	18	gene
YEL006W	9	96	26	gene
YEL002C	28	6	43	gene
YEL001C	11	101	59	gene
YER001W	32	71	56	gene
YER003C	89	190	138	gene
YER004W	40	61	84	gene
YER006W	10	8	10	gene
YER008C	19	119	26	gene
YER009W	122	153	47	gene
YER011W	134	344	100	gene
YER012W	36	20	66	gene
YER019W	13	12	40	gene
YER019C-A	64	337	160	gene
YER020W	53	101	53	gene
YER021W	176	178	91	gene
YER023W	40	10	36	gene
YER025W	155	85	185	gene
YER026C	69	48	32	gene
YER036C	211	142	89	gene
YER038C	10	32	21	gene
YER043C	551	594	536	gene
YER044C	21	9	23	gene
YER045C	13	23	11	gene
YER048C	44	85	86	gene
YER048W-A	11	49	8	gene
YER050C	9	19	6	gene
YER051W	7	31	11	gene
YER052C	80	201	36	gene
YER055C	109	180	120	gene
YER056C	259	212	257	gene
YER056C-A	347	293	436	gene
YER059W	16	25	8	gene
YER061C	92	44	248	gene
YER062C	99	53	264	gene
YER064C	162	159	216	gene
YER065C	23	39	50	gene
YER068W	24	25	9	gene
YER070W	197	79	210	gene
YER072W	154	100	240	gene
YER073W	241	127	443	gene
YER074W	414	394	408	gene
YER074W-A	74	8	46	gene
YER075C	29	55	63	gene
YER080W	10	19	20	gene
YER086W	121	27	140	gene
YER088C	81	204	50	gene
YER089C	29	10	23	gene
YER091C	130	279	216	gene
YER093C	15	6	21	gene
YER094C	58	26	27	gene
YER095W	19	17	22	gene
YER097W	29	51	163	gene
YER102W	658	578	660	gene
YER103W	48	20	19	gene
YER105C	38	75	48	gene
YER110C	189	171	121	gene
YER112W	13	49	10	gene
YER117W	326	260	341	gene
YER120W	73	83	105	gene
YER122C	23	12	30	gene
YER124C	79	115	55	gene
YER125W	132	367	102	gene
YER129W	21	148	17	gene
YER130C	72	49	52	gene
YER131W	312	96	353	gene
YER133W	367	126	382	gene
YER136W	82	234	113	gene
YER137W-A	179	85	247	gene
YER143W	6	8	25	gene
YER144C	83	86	27	gene
YER145C	34	35	61	gene
YER148W	13	6	10	gene
YER151C	11	117	31	gene
YER155C	83	148	154	gene
YER158C	59	26	31	gene
YER159C	67	27	43	gene
YER164W	128	85	94	gene
YER165W	659	507	674	gene
YER166W	24	38	32	gene
YER167W	16	36	24	gene
YER172C	93	31	208	gene
YER176W	27	87	19	gene
YER177W	406	343	242	gene
YER178W	203	499	322	gene
YER181C	61	182	71	gene
YFL049W	6	57	14	gene
YFL048C	10	27	18	gene
YFL045C	212	199	188	gene
YFL039C	1451	1037	1525	gene
YFL038C	55	99	79	gene
YFL037W	192	251	204	gene
YFL036W	16	43	29	gene
YFL034C-A	19	10	83	gene
YFL033C	37	70	18	gene
YFL031W	722	492	915	gene
YFL026W	77	138	16	gene
YFL022C	84	318	94	gene
YFL018C	36	19	21	gene
YFL016C	7	40	33	gene
YFL010C	52	114	54	gene
YFL008W	19	14	9	gene
YFL007W	52	119	61	gene
YFL005W	17	119	25	gene
YFL004W	43	25	78	gene
YFL002C	44	16	80	gene
YFR002W	32	83	37	gene
YFR004W	13	53	60	gene
YFR009W	62	81	54	gene
YFR010W	30	42	67	gene
YFR014C	7	53	15	gene
YFR016C	104	457	91	gene
YFR018C	18	71	13	gene
YFR019W	48	50	91	gene
YFR024C-A	62	126	37	gene
YFR031C	100	8	69	gene
YFR031C-A	678	494	801	gene
YFR040W	63	133	78	gene
YFR044C	56	22	26	gene
YFR045W	20	7	23	gene
YFR050C	68	53	31	gene
YFR051C	51	123	67	gene
YFR052W	55	20	101	gene
YFR055W	80	143	87	gene
YGL254W	26	108	13	gene
YGL253W	826	546	790	gene
YGL252C	26	67	70	gene
YGL245W	426	357	306	gene
YGL244W	34	26	11	gene
YGL238W	43	26	54	gene
YGL234W	395	409	404	gene
YGL233W	12	34	7	gene
YGL232W	13	24	13	gene
YGL228W	10	24	38	gene
YGL226C-A	60	15	77	gene
YGL225W	169	97	111	gene
YGL222C	15	221	23	gene
YGL219C	9	38	25	gene
YGL215W	104	114	186	gene
YGL207W	73	114	147	gene
YGL206C	252	531	291	gene
YGL202W	200	244	290	gene
YGL200C	10	21	21	gene
YGL197W	42	29	22	gene
YGL195W	240	277	370	gene
YGL191W	21	43	21	gene
YGL190C	57	109	96	gene
YGL187C	41	154	109	gene
YGL186C	9	49	19	gene
YGL180W	6	12	7	gene
YGL179C	26	10	65	gene
YGL178W	143	117	173	gene
YGL176C	13	70	33	gene
YGL173C	391	545	348	gene
YGL167C	185	244	331	gene
YGL151W	31	37	41	gene
YGL150C	42	70	35	gene
YGL148W	91	47	99	gene
YGL147C	407	304	349	gene
YGL140C	75	122	17	gene
YGL139W	17	26	8	gene
YGL137W	180	313	254	gene
YGL135W	578	248	395	gene
YGL123W	963	395	797	gene
YGL122C	50	100	96	gene
YGL120C	28	42	24	gene
YGL105W	115	139	181	gene
YGL103W	877	608	1169	gene
YGL098W	64	26	67	gene
YGL097W	17	64	40	gene
YGL095C	8	6	27	gene
YGL092W	19	41	27	gene
YGL088W	176	454	489	gene
YGL086W	64	12	31	gene
YGL083W	38	8	6	gene
YGL082W	50	20	42	gene
YGL078C	38	58	18	gene
YGL077C	37	79	28	gene
YGL076C	807	608	924	gene
YGL071W	18	43	32	gene
YGL067W	16	44	11	gene
YGL065C	18	17	18	gene
YGL062W	81	179	135	gene
YGL056C	41	397	79	gene
YGL055W	587	611	577	gene
YGL054C	89	31	55	gene
YGL049C	8	22	26	gene
YGL048C	110	70	86	gene
YGL043W	41	7	23	gene
YGL040C	53	99	157	gene
YGL039W	19	59	15	gene
YGL038C	35	82	80	gene
YGL037C	189	165	296	gene
YGL036W	32	8	34	gene
YGL035C	13	53	62	gene
YGL031C	484	299	454	gene
YGL030W	553	324	585	gene
YGL028C	131	55	177	gene
YGL027C	17	9	17	gene
YGL026C	87	134	121	gene
YGL022W	187	67	67	gene
YGL014W	23	124	56	gene
YGL013C	12	103	51	gene
YGL012W	41	33	23	gene
YGL011C	63	110	111	gene
YGL009C	496	592	372	gene
YGL008C	5193	3392	4059	gene
YGL006W	195	138	139	gene
YGL005C	19	47	40	gene
YGL003C	8	34	15	gene
YGL001C	37	10	13	gene
YGR007W	21	6	15	gene
YGR008C	52	17	12	gene
YGR014W	37	100	93	gene
YGR017W	30	58	88	gene
YGR020C	27	39	20	gene
YGR023W	118	283	132	gene
YGR024C	33	82	26	gene
YGR027C	418	433	473	gene
YGR032W	494	360	698	gene
YGR033C	47	211	25	gene
YGR034W	361	223	301	gene
YGR036C	34	43	62	gene
YGR037C	130	139	167	gene
YGR040W	12	33	9	gene
YGR046W	11	40	33	gene
YGR047C	15	25	27	gene
YGR054W	52	31	82	gene
YGR055W	174	82	138	gene
YGR056W	52	96	42	gene
YGR057C	25	21	14	gene
YGR060W	187	458	186	gene
YGR061C	764	523	857	gene
YGR063C	22	126	39	gene
YGR082W	32	49	32	gene
YGR083C	36	12	18	gene
YGR085C	134	47	178	gene
YGR086C	414	103	725	gene
YGR089W	68	41	213	gene
YGR090W	38	64	54	gene
YGR094W	462	400	465	gene
YGR097W	26	13	40	gene
YGR103W	131	57	98	gene
YGR106C	61	109	73	gene
YGR108W	67	101	91	gene
YGR116W	62	195	74	gene
YGR117C	8	62	6	gene
YGR118W	493	304	727	gene
YGR119C	11	39	31	gene
YGR121C	6	30	28	gene
YGR122W	20	83	61	gene
YGR124W	301	356	340	gene
YGR130C	39	42	31	gene
YGR132C	15	69	15	gene
YGR135W	111	136	140	gene
YGR136W	27	33	24	gene
YGR138C	64	18	30	gene
YGR142W	268	60	184	gene
YGR143W	44	31	15	gene
YGR145W	7	12	10	gene
YGR146C	59	151	66	gene
YGR148C	279	241	436	gene
YGR155W	279	442	455	gene
YGR157W	217	86	189	gene
YGR159C	165	233	264	gene
YGR161C	52	32	91	gene
YGR162W	150	98	139	gene
YGR167W	20	19	52	gene
YGR175C	236	86	167	gene
YGR178C	35	30	39	gene
YGR180C	365	165	288	gene
YGR184C	266	36	246	gene
YGR185C	136	305	229	gene
YGR186W	31	22	27	gene
YGR187C	55	252	82	gene
YGR188C	33	10	31	gene
YGR189C	405	204	500	gene
YGR191W	39	85	127	gene
YGR192C	8754	4488	7600	gene
YGR193C	50	72	13	gene
YGR194C	59	8	21	gene
YGR198W	20	9	38	gene
YGR200C	10	7	30	gene
YGR204W	361	298	325	gene
YGR207C	11	6	17	gene
YGR208W	16	22	23	gene
YGR209C	71	115	81	gene
YGR211W	167	23	166	gene
YGR214W	431	345	556	gene
YGR215W	13	14	20	gene
YGR218W	92	61	245	gene
YGR229C	20	71	45	gene
YGR231C	28	66	19	gene
YGR232W	14	19	16	gene
YGR233C	12	11	29	gene
YGR234W	75	87	60	gene
YGR237C	14	10	30	gene
YGR240C	1008	970	941	gene
YGR241C	14	11	13	gene
YGR243W	20	103	53	gene
YGR244C	12	58	7	gene
YGR249W	22	35	10	gene
YGR250C	6	18	10	gene
YGR253C	73	13	23	gene
YGR254W	1602	1089	1139	gene
YGR257C	21	105	16	gene
YGR260W	61	152	86	gene
YGR264C	124	84	101	gene
YGR270W	38	50	23	gene
YGR271W	20	29	24	gene
YGR279C	640	612	447	gene
YGR281W	60	113	49	gene
YGR282C	379	254	473	gene
YGR284C	80	43	83	gene
YGR285C	285	938	277	gene
YGR295C	22	49	59	gene
YHL039W	16	6	27	gene
YHL036W	59	24	64	gene
YHL034C	220	210	184	gene
YHL033C	379	182	389	gene
YHL030W	105	25	69	gene
YHL027W	57	37	36	gene
YHL021C	79	163	139	gene
YHL015W	605	452	705	gene
YHL011C	40	56	27	gene
YHL007C	14	17	18	gene
YHL001W	375	211	243	gene
YHR005C-A	118	33	85	gene
YHR007C	275	234	279	gene
YHR008C	32	23	33	gene
YHR009C	27	35	21	gene
YHR010W	351	275	685	gene
YHR013C	15	22	41	gene
YHR016C	61	18	39	gene
YHR017W	10	51	7	gene
YHR018C	115	17	97	gene
YHR019C	401	505	395	gene
YHR020W	101	324	165	gene
YHR021C	371	116	415	gene
YHR023W	11	152	27	gene
YHR025W	50	159	53	gene
YHR026W	111	132	65	gene
YHR027C	105	110	113	gene
YHR029C	7	8	9	gene
YHR030C	136	100	128	gene
YHR032W	14	79	14	gene
YHR037W	7	66	15	gene
YHR039C	15	84	32	gene
YHR039C-A	116	96	78	gene
YHR041C	13	8	18	gene
YHR042W	96	66	164	gene
YHR049W	17	17	34	gene
YHR053C	231	85	129	gene
YHR055C	218	35	145	gene
YHR063C	7	12	15	gene
YHR064C	312	284	276	gene
YHR068W	135	97	88	gene
YHR070W	10	13	15	gene
YHR071W	31	30	23	gene
YHR072W-A	97	60	30	gene
YHR073W	27	39	20	gene
YHR074W	36	34	32	gene
YHR078W	8	53	42	gene
YHR079C	45	22	126	gene
YHR082C	47	59	80	gene
YHR084W	6	35	15	gene
YHR086W	23	51	42	gene
YHR087W	23	17	49	gene
YHR089C	95	56	99	gene
YHR094C	266	105	560	gene
YHR097C	66	108	192	gene
YHR098C	40	39	45	gene
YHR099W	132	69	200	gene
YHR103W	15	11	10	gene
YHR104W	21	28	17	gene
YHR108W	19	25	14	gene
YHR115C	23	12	27	gene
YHR117W	8	12	12	gene
YHR128W	29	8	31	gene
YHR131C	19	104	64	gene
YHR132C	80	21	78	gene
YHR135C	74	40	211	gene
YHR141C	354	568	390	gene
YHR142W	37	37	7	gene
YHR143W	471	305	606	gene
YHR143W-A	12	61	8	gene
YHR145C	116	193	210	gene
YHR146W	23	25	22	gene
YHR155W	31	75	96	gene
YHR158C	15	190	27	gene
YHR162W	139	38	113	gene
YHR163W	44	49	57	gene
YHR165C	78	70	86	gene
YHR170W	27	30	24	gene
YHR174W	7677	4557	6644	gene
YHR179W	415	473	330	gene
YHR180W-A	79	789	181	gene
YHR183W	454	544	281	gene
YHR190W	109	189	122	gene
YHR193C	148	281	139	gene
YHR195W	6	13	10	gene
YHR199C	12	11	23	gene
YHR200W	40	99	51	gene
YHR201C	11	152	8	gene
YHR203C	707	666	729	gene
YHR205W	6	75	24	gene
YHR206W	18	13	72	gene
YHR208W	253	99	211	gene
YHR215W	10	7	6	gene
YIL149C	56	176	103	gene
YIL148W	552	332	364	gene
YIL147C	9	15	11	gene
YIL145C	15	43	44	gene
YIL142W	73	74	42	gene
YIL137C	11	26	18	gene
